move	99.4413407821229	total = 358	deleted = 356
must	100.0	total = 354	deleted = 354
liquid	68.2261208576998	total = 513	deleted = 350
over	97.19101123595506	total = 356	deleted = 346
down	95.55555555555556	total = 360	deleted = 344
only	99.42028985507247	total = 345	deleted = 343
changes	99.70501474926253	total = 339	deleted = 338
each	97.3913043478261	total = 345	deleted = 336
These	100.0	total = 333	deleted = 333
such	96.6867469879518	total = 332	deleted = 321
sometimes	100.0	total = 319	deleted = 319
In	100.0	total = 318	deleted = 318
properties	100.0	total = 317	deleted = 317
matter	96.93251533742331	total = 326	deleted = 316
animals	99.68051118210862	total = 313	deleted = 312
below	100.0	total = 310	deleted = 310
both	74.21686746987952	total = 415	deleted = 308
begin	100.0	total = 308	deleted = 308
insects	100.0	total = 303	deleted = 303
nuts	99.66996699669967	total = 303	deleted = 302
them	99.66777408637874	total = 301	deleted = 300
around	98.00664451827242	total = 301	deleted = 295
dioxide	100.0	total = 291	deleted = 291
primarily	73.67088607594937	total = 395	deleted = 291
through	71.07843137254902	total = 408	deleted = 290
get	97.96610169491525	total = 295	deleted = 289
take	99.65397923875432	total = 289	deleted = 288
amount	100.0	total = 286	deleted = 286
sample	100.0	total = 283	deleted = 283
temperature	49.3006993006993	total = 572	deleted = 282
using	99.64664310954063	total = 283	deleted = 282
A	100.0	total = 282	deleted = 282
scientist	99.644128113879	total = 281	deleted = 280
occur	100.0	total = 280	deleted = 280
potential	100.0	total = 280	deleted = 280
Sun	61.915367483296215	total = 449	deleted = 278
so	97.87234042553192	total = 282	deleted = 276
person	67.48166259168704	total = 409	deleted = 276
electricity	91.3907284768212	total = 302	deleted = 276
produces	97.86476868327402	total = 281	deleted = 275
large	98.91696750902527	total = 277	deleted = 274
then	100.0	total = 273	deleted = 273
DNA	100.0	total = 271	deleted = 271
substance	100.0	total = 270	deleted = 270
shows	99.63099630996311	total = 271	deleted = 270
after	100.0	total = 270	deleted = 270
produced	100.0	total = 269	deleted = 269
kinetic	95.0530035335689	total = 283	deleted = 269
space	100.0	total = 268	deleted = 268
organ	100.0	total = 266	deleted = 266
certain	100.0	total = 263	deleted = 263
natural	96.33699633699634	total = 273	deleted = 263
grow	98.87218045112782	total = 266	deleted = 263
these	98.86792452830188	total = 265	deleted = 262
types	99.61977186311786	total = 263	deleted = 262
things	100.0	total = 261	deleted = 261
term	100.0	total = 261	deleted = 261
might	100.0	total = 260	deleted = 260
humans	100.0	total = 259	deleted = 259
iron	91.19718309859155	total = 284	deleted = 259
second	92.80575539568345	total = 278	deleted = 258
become	100.0	total = 254	deleted = 254
could	100.0	total = 252	deleted = 252
within	98.82352941176471	total = 255	deleted = 252
forms	100.0	total = 250	deleted = 250
work	98.02371541501977	total = 253	deleted = 248
together	100.0	total = 248	deleted = 248
vines	100.0	total = 245	deleted = 245
another	97.6	total = 250	deleted = 244
group	100.0	total = 243	deleted = 243
present	100.0	total = 242	deleted = 242
described	100.0	total = 241	deleted = 241
point	100.0	total = 239	deleted = 239
very	96.7479674796748	total = 246	deleted = 238
—	100.0	total = 238	deleted = 238
gravitational	100.0	total = 238	deleted = 238
physical	96.34146341463415	total = 246	deleted = 237
no	92.94117647058823	total = 255	deleted = 237
building	100.0	total = 236	deleted = 236
helps	98.32635983263597	total = 239	deleted = 235
responsible	70.57057057057057	total = 333	deleted = 235
being	99.14893617021276	total = 235	deleted = 233
effect	100.0	total = 231	deleted = 231
floor	100.0	total = 231	deleted = 231
structures	99.56709956709958	total = 231	deleted = 230
beaker	97.0464135021097	total = 237	deleted = 230
mechanical	99.13419913419914	total = 231	deleted = 229
