100	4806
99	97
98	70
97	43
96	44
95	37
94	28
93	24
92	20
91	20
90	18
89	24
88	21
87	9
86	30
85	5
84	4
83	26
82	7
81	10
80	45
79	7
78	20
77	7
76	6
75	61
74	7
73	8
72	7
71	16
70	9
69	9
68	5
67	88
66	3
65	7
64	12
63	2
62	21
61	2
60	27
59	3
58	14
57	10
56	14
55	14
54	3
53	3
52	4
51	3
50	195
49	3
48	2
47	3
46	5
45	3
44	9
43	16
42	8
41	4
40	31
39	3
38	17
37	3
36	10
35	7
34	3
33	82
32	4
31	8
30	2
29	14
28	5
27	5
26	4
25	42
24	5
23	6
22	3
21	8
20	28
19	3
18	8
17	16
16	4
15	6
14	25
13	3
12	11
11	12
10	14
9	9
8	9
7	6
6	12
5	9
4	6
3	16
2	11
1	8
0	2
