mixture	24.56140350877193	total = 14	deleted = 14	frequency deleted = 100.0
leaves	24.489795918367346	total = 15	deleted = 10	frequency deleted = 66.66666666666666
area	24.489795918367346	total = 15	deleted = 10	frequency deleted = 66.66666666666666
looks	24.242424242424242	total = 16	deleted = 8	frequency deleted = 50.0
striped	24.0	total = 20	deleted = 6	frequency deleted = 30.0
built	23.430962343096233	total = 16	deleted = 7	frequency deleted = 43.75
case	23.008849557522122	total = 13	deleted = 13	frequency deleted = 100.0
paper	22.94713160854893	total = 17	deleted = 6	frequency deleted = 35.294117647058826
post	22.489959839357432	total = 14	deleted = 8	frequency deleted = 57.14285714285714
it	22.241231822070144	total = 13	deleted = 10	frequency deleted = 76.92307692307693
across	21.939586645469	total = 69	deleted = 9	frequency deleted = 13.043478260869565
city	21.62565249813572	total = 29	deleted = 5	frequency deleted = 17.24137931034483
cell	21.465428276573785	total = 13	deleted = 8	frequency deleted = 61.53846153846154
used	21.105527638190956	total = 14	deleted = 6	frequency deleted = 42.857142857142854
onion	19.976218787158142	total = 21	deleted = 4	frequency deleted = 19.047619047619047
picture	19.90950226244344	total = 22	deleted = 4	frequency deleted = 18.181818181818183
silver	19.81981981981982	total = 11	deleted = 11	frequency deleted = 100.0
same	19.625334522747547	total = 11	deleted = 10	frequency deleted = 90.9090909090909
lamp	19.39275220372184	total = 11	deleted = 9	frequency deleted = 81.81818181818183
out	19.18089613557581	total = 83	deleted = 9	frequency deleted = 10.843373493975903
or	18.307905686546462	total = 11	deleted = 6	frequency deleted = 54.54545454545454
American	18.181818181818183	total = 10	deleted = 10	frequency deleted = 100.0
gift	18.181818181818183	total = 10	deleted = 10	frequency deleted = 100.0
many	17.77777777777778	total = 10	deleted = 8	frequency deleted = 80.0
beautiful	17.77777777777778	total = 10	deleted = 8	frequency deleted = 80.0
brick	17.5	total = 10	deleted = 7	frequency deleted = 70.0
have	17.26618705035971	total = 16	deleted = 3	frequency deleted = 18.75
cement	17.142857142857142	total = 10	deleted = 6	frequency deleted = 60.0
about	16.89059500959693	total = 11	deleted = 4	frequency deleted = 36.36363636363637
open	16.89059500959693	total = 11	deleted = 4	frequency deleted = 36.36363636363637
different	16.89059500959693	total = 11	deleted = 4	frequency deleted = 36.36363636363637
ingredients	16.646562123039807	total = 23	deleted = 3	frequency deleted = 13.043478260869565
sunny	16.631130063965884	total = 13	deleted = 3	frequency deleted = 23.076923076923077
Asia	16.513761467889907	total = 9	deleted = 9	frequency deleted = 100.0
bubble	16.513761467889907	total = 9	deleted = 9	frequency deleted = 100.0
beige	16.513761467889907	total = 9	deleted = 9	frequency deleted = 100.0
fluorescent	16.513761467889907	total = 9	deleted = 9	frequency deleted = 100.0
base	16.513761467889907	total = 9	deleted = 9	frequency deleted = 100.0
clear	16.513761467889907	total = 9	deleted = 9	frequency deleted = 100.0
view	16.34506242905789	total = 9	deleted = 8	frequency deleted = 88.88888888888889
metal	16.133162612035854	total = 9	deleted = 7	frequency deleted = 77.77777777777779
low	16.0	total = 10	deleted = 4	frequency deleted = 40.0
deep	16.0	total = 10	deleted = 4	frequency deleted = 40.0
container	15.676959619952493	total = 11	deleted = 3	frequency deleted = 27.27272727272727
plastic	15.068493150684933	total = 44	deleted = 4	frequency deleted = 9.090909090909092
package	15.0	total = 10	deleted = 3	frequency deleted = 30.0
beads	14.814814814814815	total = 8	deleted = 8	frequency deleted = 100.0
card	14.814814814814815	total = 8	deleted = 8	frequency deleted = 100.0
set	14.814814814814815	total = 8	deleted = 8	frequency deleted = 100.0
plants	14.814814814814815	total = 8	deleted = 8	frequency deleted = 100.0
bank	14.457831325301205	total = 8	deleted = 6	frequency deleted = 75.0
circular	14.184397163120567	total = 8	deleted = 5	frequency deleted = 62.5
Christmas	14.173228346456693	total = 9	deleted = 3	frequency deleted = 33.33333333333333
tree	13.77049180327869	total = 35	deleted = 3	frequency deleted = 8.571428571428571
writing	13.333333333333334	total = 20	deleted = 2	frequency deleted = 10.0
contains	13.08411214953271	total = 7	deleted = 7	frequency deleted = 100.0
spices	12.942989214175656	total = 7	deleted = 6	frequency deleted = 85.71428571428571
holiday	12.942989214175656	total = 7	deleted = 6	frequency deleted = 85.71428571428571
foamy	12.942989214175656	total = 7	deleted = 6	frequency deleted = 85.71428571428571
huge	12.942989214175656	total = 7	deleted = 6	frequency deleted = 85.71428571428571
shiny	12.811387900355871	total = 9	deleted = 2	frequency deleted = 22.22222222222222
video	12.750455373406194	total = 7	deleted = 5	frequency deleted = 71.42857142857143
as	12.750455373406194	total = 7	deleted = 5	frequency deleted = 71.42857142857143
wall	12.669683257918553	total = 56	deleted = 4	frequency deleted = 7.142857142857142
both	12.47216035634744	total = 7	deleted = 4	frequency deleted = 57.14285714285714
glass	12.47216035634744	total = 7	deleted = 4	frequency deleted = 57.14285714285714
weather	12.034383954154729	total = 7	deleted = 3	frequency deleted = 42.857142857142854
edge	11.382113821138212	total = 28	deleted = 2	frequency deleted = 7.142857142857142
Egyptian	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
above	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
patterned	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
fresh	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
grand	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
African	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
great	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
substance	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
number	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
metallic	11.320754716981131	total = 6	deleted = 6	frequency deleted = 100.0
net	11.194029850746269	total = 6	deleted = 5	frequency deleted = 83.33333333333334
spout	11.194029850746269	total = 6	deleted = 5	frequency deleted = 83.33333333333334
spread	11.194029850746269	total = 6	deleted = 5	frequency deleted = 83.33333333333334
house	10.169491525423728	total = 6	deleted = 2	frequency deleted = 33.33333333333333
older	9.95475113122172	total = 11	deleted = 1	frequency deleted = 9.090909090909092
end	9.83606557377049	total = 12	deleted = 1	frequency deleted = 8.333333333333332
old	9.824561403508772	total = 35	deleted = 2	frequency deleted = 5.714285714285714
made	9.778812572759023	total = 56	deleted = 3	frequency deleted = 5.357142857142857
vertical	9.75609756097561	total = 8	deleted = 1	frequency deleted = 12.5
right	9.75609756097561	total = 8	deleted = 1	frequency deleted = 12.5
all	9.75609756097561	total = 8	deleted = 1	frequency deleted = 12.5
ocean	9.66542750929368	total = 13	deleted = 1	frequency deleted = 7.6923076923076925
presentation	9.523809523809524	total = 5	deleted = 5	frequency deleted = 100.0
event	9.523809523809524	total = 5	deleted = 5	frequency deleted = 100.0
woven	9.523809523809524	total = 5	deleted = 5	frequency deleted = 100.0
vast	9.411764705882353	total = 5	deleted = 4	frequency deleted = 80.0
official	9.411764705882353	total = 5	deleted = 4	frequency deleted = 80.0
can	9.395973154362416	total = 7	deleted = 1	frequency deleted = 14.285714285714285
sugar	9.395973154362416	total = 7	deleted = 1	frequency deleted = 14.285714285714285
be	9.23076923076923	total = 5	deleted = 3	frequency deleted = 60.0
extravagant	9.23076923076923	total = 5	deleted = 3	frequency deleted = 60.0
space	9.23076923076923	total = 5	deleted = 3	frequency deleted = 60.0
lots	9.23076923076923	total = 5	deleted = 3	frequency deleted = 60.0
beach	8.98876404494382	total = 16	deleted = 1	frequency deleted = 6.25
beautifully	8.88888888888889	total = 5	deleted = 2	frequency deleted = 40.0
sponsor	8.88888888888889	total = 5	deleted = 2	frequency deleted = 40.0
Indian	8.823529411764705	total = 6	deleted = 1	frequency deleted = 16.666666666666664
games	8.823529411764705	total = 6	deleted = 1	frequency deleted = 16.666666666666664
grotto	8.823529411764705	total = 6	deleted = 1	frequency deleted = 16.666666666666664
wedding	8.823529411764705	total = 6	deleted = 1	frequency deleted = 16.666666666666664
target	8.823529411764705	total = 6	deleted = 1	frequency deleted = 16.666666666666664
dyed	8.242950108459869	total = 19	deleted = 1	frequency deleted = 5.263157894736842
behind	8.089887640449438	total = 45	deleted = 2	frequency deleted = 4.444444444444445
droplets	8.0	total = 5	deleted = 1	frequency deleted = 20.0
only	8.0	total = 5	deleted = 1	frequency deleted = 20.0
earrings	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
provide	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
rose	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
internet	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
content	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
lavender	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
twin	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
new	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
multicolor	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
Arabic	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
formation	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
clustered	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
classic	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
flower	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
panel	7.6923076923076925	total = 4	deleted = 4	frequency deleted = 100.0
elegant	7.594936708860759	total = 4	deleted = 3	frequency deleted = 75.0
rainbow	7.594936708860759	total = 4	deleted = 3	frequency deleted = 75.0
revealing	7.407407407407407	total = 4	deleted = 2	frequency deleted = 50.0
tomato	7.407407407407407	total = 4	deleted = 2	frequency deleted = 50.0
table	7.100591715976331	total = 24	deleted = 1	frequency deleted = 4.166666666666666
bottom	6.896551724137931	total = 4	deleted = 1	frequency deleted = 25.0
numbers	6.896551724137931	total = 4	deleted = 1	frequency deleted = 25.0
along	6.509539842873176	total = 58	deleted = 2	frequency deleted = 3.4482758620689653
current	5.825242718446602	total = 3	deleted = 3	frequency deleted = 100.0
necklace	5.825242718446602	total = 3	deleted = 3	frequency deleted = 100.0
look	5.825242718446602	total = 3	deleted = 3	frequency deleted = 100.0
contain	5.825242718446602	total = 3	deleted = 3	frequency deleted = 100.0
olive	5.825242718446602	total = 3	deleted = 3	frequency deleted = 100.0
surrounding	5.825242718446602	total = 3	deleted = 3	frequency deleted = 100.0
tiny	5.825242718446602	total = 3	deleted = 3	frequency deleted = 100.0
five	5.825242718446602	total = 3	deleted = 3	frequency deleted = 100.0
blocks	5.741626794258373	total = 3	deleted = 2	frequency deleted = 66.66666666666666
bricks	5.504587155963303	total = 3	deleted = 1	frequency deleted = 33.33333333333333
covering	5.504587155963303	total = 3	deleted = 1	frequency deleted = 33.33333333333333
consists	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
provides	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
featuring	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
takes	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
market	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
sunshine	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
interior	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
color	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
ribbon	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
columns	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
faucet	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
round	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
scattering	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
pebbly	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
cluster	3.9215686274509802	total = 2	deleted = 2	frequency deleted = 100.0
given	3.8461538461538463	total = 2	deleted = 1	frequency deleted = 50.0
size	3.8461538461538463	total = 2	deleted = 1	frequency deleted = 50.0
upon	3.8461538461538463	total = 2	deleted = 1	frequency deleted = 50.0
dish	3.8461538461538463	total = 2	deleted = 1	frequency deleted = 50.0
gallery	3.8461538461538463	total = 2	deleted = 1	frequency deleted = 50.0
up	3.302752293577982	total = 180	deleted = 3	frequency deleted = 1.6666666666666667
her	2.9308005427408412	total = 135	deleted = 2	frequency deleted = 1.4814814814814816
being	2.3567253270652273	total = 508	deleted = 6	frequency deleted = 1.1811023622047243
tools	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
pattern	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
